Category,Aantal per 100.000 inwoners,Aantal
Renkum,44.6,14
Renswoude,73.4,4
Reusel-De Mierden,76.3,10
Rheden,70.9,31
Rhenen,34.8,7
Ridderkerk,67.1,31
Rijssen-Holten,68.1,26
Rijswijk,42.3,23
Roerdalen,126.4,26
Roermond,91.0,53
Roosendaal,29.8,23
Rotterdam,54.2,353
Rozendaal,58.7,1
Rucphen,30.6,7
Schagen,40.9,19
Scherpenzeel,30.4,3
Schiedam,44.5,35
Schiermonnikoog,0.0,0
Schouwen-Duiveland,32.5,11
Simpelveld,161.1,17
Sint Anthonis,162.8,19
Sint-Michielsgestel,116.4,34
Sittard-Geleen,102.8,95
Sliedrecht,27.8,7
Sluis,30.2,7
Smallingerland,12.5,7
Soest,45.1,21
Someren,149.7,29
Son en Breugel,155.9,27
Stadskanaal,6.3,2
Staphorst,46.7,8
Stede Broec,82.8,18
Steenbergen,49.0,12
Steenwijkerland,27.2,12
Stein,152.0,38
Stichtse Vecht,43.1,28
S̼dwest-Frysl̢n,18.9,17
Terneuzen,38.6,21
Terschelling,0.0,0
Texel,29.5,4
Teylingen,32.1,12
Tholen,147.5,38
Tiel,87.8,37
Tilburg,74.2,163
Tubbergen,47.0,10
Twenterand,32.6,11
Tynaarlo,23.6,8
Tytsjerksteradiel,12.5,4
Uden,213.7,90
Uitgeest,36.6,5
Uithoorn,54.3,16
Urk,90.3,19
Utrecht,56.8,203
Utrechtse Heuvelrug,48.4,24
Vaals,89.1,9
Valkenburg aan de Geul,97.8,16
Valkenswaard,48.1,15
Veendam,7.3,2
Veenendaal,55.6,37
Veere,27.4,6
Veldhoven,55.0,25
